Equipment,Recovery rate
Normal projetor,1
HD projector,1
Projector screen,1
Iron tables,1
Stainless Steel tables,1
wodden tables,1
Table cloth,1
Chairs – Normal,1
Chairs – Judge,1
Bouquet,0
White board,1
Water bottles(500 ml),0
Barricades,1
Hockey cones,1
Pedastal fans,1
Extension cords,0.7
5amp spike busters,0.7
15amp spike busters,0.7
normal mikes,1
Cordless mikes,1
Collar mikes,1
Speakers,1
Amplifier,1
Water can,1
Bubble cans,1
pen,0.2
Buzzer,1
stop watch,0.7
whistle,0.8
pencil,0
eraser,0
sharpner,0
permanent marker,0
White board(black),0
White board(red),0
white board(blue),0
white board(green),0
OHP marker,0
cellotape,0
duct tape,0
double sided tape,0
electrical insulation tape,0
measuring tape,0.8
penknife,0
scissors,0.5
A4 sheets,0
chalk,0
stapler,0.7
stapler pins,0.7
note pad,0
Stck File folders,0.5
box folders,0.5
rubber bands,0
stamp pad,0.9
OHP sheets,0.9
laptops,1
desktops,1
CD/DVD,0
weighing machine,1
hacksaw blade,0.5
chalkpowder,0
nylon rope,0
jute rope,0
fire extinguishers,1
first aid box,1
screwdriver/tester,0.7
routers normal,1
routers wifi,1
